Movie_Name,Storyline
Nosferatu,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake."
Emilia Pérez,"In modern-day Mexico, overqualified and exploited lawyer Rita is wasting her talents working for a large firm which is far better at whitewashing criminal garbage than at serving justice. But an unexpected way out appears, the sort of offer that cannot be refused: to help feared cartel boss Juan ""Little Hands"" Del Monte--aka Manitas--retire from his business and disappear forever. Manitas has a plan he's been fine-tuning in secret for years: to become, at last, the woman he's always dreamed of becoming."
The Brutalist,"When visionary architect László Toth and his wife Erzsébet flee Europe to rebuild their legacy and witness the birth of modern America, their lives are changed forever by a mysterious and wealthy client. The seemingly charming industrialist Harrison Van Buren offers László and his family the American Dream on a silver platter by commissioning him to design a grand modernist monument and help shape the landscape of the country he now calls home. It will be the most ambitious project of his career, one that will take László and Erzsébet to both monumental heights and devastating lows. —Ulf Kjell Gür"
Saturday Night,"At 11:30pm on October 11, 1975, a ferocious troupe of young comedians and writers changed television--and culture--forever. ""Saturday Night"" is based on the true story of what happened behind the scenes in the 90 minutes leading up to the first broadcast of Saturday Night Live. Full of humor, chaos, and the magic of a revolution that almost wasn't, count down the minutes in real time until those famous words are uttered for the very first time. —Columbia Pictures"
The Substance,"Have you ever dreamed of a better version of yourself? You. Only better in every way. Seriously. You've got to try this new product. It's called the Substance. It changed my life. It generates another you. A new, younger, more beautiful, more perfect you. And there's only one rule: you share time. One week for you. One week for the new you. Seven days each. A perfect balance. Easy, right? If you respect the balance...what could possibly go wrong? —Festival Cannes"
Landman,"Set in the proverbial boomtowns of West Texas, Landman is a modern-day tale of fortune seeking in the world of oil rigs. The series is an upstairs/downstairs story of roughnecks and wildcat billionaires fueling a boom so big, it's reshaping our climate, our economy and our geopolitics. —Denise Petski"
Gladiator II,"Rome, circa 209 A.D. Sixteen years after the demise of Emperor Marcus Aurelius and Maximus Decimus Meridius in Gladiator (2000), the Roman Empire is now ruled by the tyrannical Emperors Caracalla and Geta. As tensions mount, an enslaved Numidian leader arrives in the city as a gladiator, putting allegiances to the test. No one knows who he is, but with sinister schemes threatening the Republic, can this humble defender restore Rome to its former glory? —Nick Riganas"
Babygirl,"Romy, the head of a large company, accustomed to managing people, becomes the plaything of young intern Samuel. The rules are simple: she obeys all his orders, and he keeps her secret. But the passion that escapes outside the office threatens to destroy them both. —Tango Papa"
High Potential,"Thanks to her exceptional mind, single-mom-of-three Morgan is able to help solve a crime as she rearranges evidence during her shift as a cleaner for the police department."
Anora,"Anora, a young sex worker from Brooklyn, gets her chance at a Cinderella story when she meets and impulsively marries the son of an oligarch. Once the news reaches Russia, her fairytale is threatened as the parents set out for New York to get the marriage annulled."
Blink Twice,"When tech billionaire Slater King (Channing Tatum) meets cocktail waitress Frida (Naomi Ackie) at his fundraising gala, sparks fly. He invites her to join him and his friends on a dream vacation on his private island. It's paradise. Wild nights blend into sun-soaked days and everyone's having a great time. Nobody wants this trip to end, but as strange things start to happen, Frida begins to question her reality. Something is wrong with this place. She'll have to uncover the truth if she wants to make it out of this party alive. —MGM"
Dexter: Original Sin,"In 1991, young Dexter Morgan (Patrick Gibson) begins his internship as a forensic technician for the Miami Metro Police Department while transitioning into an avenging serial killer. When his bloodthirsty urges can no longer be ignored, Dexter must control his inner darkness. With the help from his foster father Harry (Christian Slater), he adopts the Code designed to help him find and kill other serial killers while staying under the radar of law enforcement."
A Complete Unknown,"Set in the influential New York City music scene of the early 1960s, ""A Complete Unknown"" follows 19-year-old Minnesota musician Bob Dylan's meteoric rise as a folk singer to concert halls and the top of the charts as his songs and his mystique become a worldwide sensation that culminates in his groundbreaking electric rock-and-roll performance at the Newport Folk Festival in 1965."
Sonic the Hedgehog 3,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet."
Conclave,"Cardinal Lawrence (Ralph Fiennes) is tasked with running this covert process after the unexpected death of the beloved Pope. Once the Catholic Church's most powerful leaders have gathered from around the world and are locked together in the Vatican halls, Lawrence uncovers a trail of deep secrets left in the dead Pope's wake--secrets which could shake the foundations of the Church. —Focus Features"
The Day of the Jackal,"In Munich a mysterious Englishman assassinates a German political figure with a seemingly-impossible piece of marksmanship. At MI6 headquarters in London, an analyst, Bianca Pullman, takes notice and thinks she might know a way to identify the killer. —grantss"
A Real Pain,"""A Real Pain"" follows mismatched cousins David (Jesse Eisenberg) and Benji (Kieran Culkin) as they reunite for a tour through Poland to honor their beloved grandmother, but their adventure takes a dark turn when the odd couple's old tensions resurface against the backdrop of their family history. —Searchlight Pictures"
Watson,"A year after the death of his friend and partner Sherlock Holmes, Dr. John Watson resumes his medical career at a clinic dedicated to the treatment of rare diseases. However, he soon finds that his old life is not done with him yet."
Wicked,"Elphaba, a young woman with green skin, as she navigates life at Shiz University and forms an unlikely friendship with the popular Galinda. Their bond deepens as they encounter the Wizard of Oz, leading to a series of events that ultimately shape their destinies and transform them into the Wicked Witch of the West and Glinda the Good. —Adrian Serpa"
The Agency,"The Agency centers on Martian, a covert CIA agent who's ordered to abandon his undercover life and return to London station. When the love he left behind reappears, romance reignites. His career, his real identity, and his mission are pitted against his heart; hurling them both into a deadly game of international intrigue and espionage. —brianfabulous"
The Wild Robot,"From DreamWorks Animation comes a new adaptation of a literary sensation, Peter Brown's beloved, award-winning, #1 New York Times bestseller, The Wild Robot. The epic adventure follows the journey of a robot--ROZZUM unit 7134, ""Roz"" for short--that is shipwrecked on an uninhabited island and must learn to adapt to the harsh surroundings, gradually building relationships with the animals on the island and becoming the adoptive parent of an orphaned gosling. —DreamWorks Pictures"
Presence,A family becomes convinced they are not alone after moving into their new home in the suburbs.
Pushpa: The Rule - Part 2,"Pushpa is become the head of red sandal smuggling syndicate and rules the whole state .While Bhawar Singh Shekhawat is waiting for revenge on Pushpa for insulting him. Pushpa happily married to Srivalli and can do anything for her,she asks for a picture with state Chief Minister during his meet but the CM rejects it considering it might harm his reputation for clicking with smuggler.Pushpa convinces his friend Sidappa to contestant the upcoming elections of next CM and he is ready spend heavy amount for the same.Pushpa teams with an international smuggler Hameed for a huge consignment of Red Sandal and alerts all his dealers.Shekawat takes this opportunity to get Pushpa on his knees by teaming up with Sinu and Daksha.But Shekhawat goes violent way by killing one of the dealers which spreads fear among others that Shekhawat and Pushpa's rivalry might end the syndicate.The members convince them for patch up but Shekhawat agrees on a condition that Pushpa says him sorry in front of everyone.A huge party is organized where Pushpa and Shekhawat face off each other and Pushpa says sorry to Shekhawat and leaves the party.But somewhere feels that he has brought down his own image and returns back to the party where Shekhawat is celebrating.But Shekhawat's happiness is lived shortly as this time Pushpa insults him in front of huge crowd and both are angry for each others blood who are controlled by the crowd.Pushpa then openly challenges Shekhawat that he will leave the syndicate if he catches his next Red Sandal consignment."
I'm Still Here,"One afternoon in 1971, Rubens Paiva, a former congressman and outspoken critic of Brazil's newly instituted military dictatorship, was taken from his home in Rio de Janeiro by government officials, told nothing more than that he must give a ""deposition"" to authorities, and disappeared. Adapted from his son Marcelo Rubens Paiva's memoir, this overwhelming, richly realized political drama from Walter Salles (The Motorcycle Diaries) stays tightly wedded to the perspective of Rubens's wife, Eunice (a shattering Fernanda Torres), whose indefatigable search for the truth about her husband would stretch out for decades. A devastating true story, I'm Still Here is exhilarating in its portrayal of human tenacity in the face of injustice. Featuring a deeply affecting appearance from Fernanda Montenegro, Oscar nominee for Salles's Central Station. A Sony Pictures Classics release."
Mufasa: The Lion King,"Mufasa, a young lion cub separated from his parents by a flood, finds himself rescued by another cub named Taka. They form a strong bond despite their differing backgrounds, but their friendship is tested when a threat to their pride forces them to confront their pasts and determine their true loyalties. —Adrian Serpa"
Moana 2,"After receiving an unexpected call from her wayfinding ancestors, Moana must journey to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced."
Heretic,"Two young missionaries are forced to prove their faith when they knock on the wrong door. Greeted by a diabolical Mr. Reed (Hugh Grant), the religious women are drawn into a deadly game of cat-and-mouse, pulled further inside the strange man's house. —A24 Films"
It Ends with Us,"IT ENDS WITH US, the first Colleen Hoover novel adapted for the big screen, tells the compelling story of Lily Bloom, a woman who overcomes a traumatic childhood to embark on a new life in Boston and chase a lifelong dream of opening her own business. A chance meeting with charming neurosurgeon Ryle Kincaid sparks an intense connection, but as the two fall deeply in love, Lily begins to see sides of Ryle that remind her of her parents' relationship. When Lily's first love, Atlas Corrigan, suddenly reenters her life, her relationship with Ryle is upended, and Lily realizes she must learn to rely on her own strength to make an impossible choice for her future. —Columbia Pictures"
Nightbitch,"A woman, thrown into the stay-at-home routine of raising a toddler in the suburbs, slowly embraces the feral power deeply rooted in motherhood, as she becomes increasingly aware of the bizarre and undeniable signs that she may be turning into a dog."
Flow,"The world seems to be coming to an end, teeming with the vestiges of a human presence. Cat is a solitary animal, but as its home is devastated by a great flood, he finds refuge on a boat populated by various species, and will have to team up with them despite their differences. In the lonesome boat sailing through mystical overflowed landscapes, they navigate the challenges and dangers of adapting to this new world. —Charades"
Solo Leveling,"In a world where hunters, humans who possess magical abilities, must battle deadly monsters to protect the human race from certain annihilation, a notoriously weak hunter named Sung Jinwoo finds himself in a seemingly endless struggle for survival. One day, after narrowly surviving an overwhelmingly powerful double dungeon that nearly wipes out his entire party, a mysterious program called the System chooses him as its sole player and in turn, gives him the extremely rare ability to level up in strength, possibly beyond any known limits. Jinwoo then sets out on a journey as he fights against all kinds of enemies, both man and monster, to discover the secrets of the dungeons and the true source of his powers."
Black Doves,"Helen embarks on a passionate affair with a man who has no idea what her secret identity is. Caught in the crosshairs when her lover falls victim to the dangerous London underworld, Helen's employers call in Sam to protect her."
Alien: Romulus,"In 2142, at the Jackson colony, Rain Carradine lives with her synthetic ""brother"" Andy that was reprogrammed by her father with the prime directive to protect her after the death of her parents. The Weyland-Yutani Corporation that administrates the colony forces the colonists to stay in Jackson prolonging the contracts of miners and farmers keeping them like slaves. When Rain's ex-boyfriend Tyler has his contract extended by the corporation, he convinces Rain to join his team, formed by his sister Kay, who is secretly pregnant, their cousin Bjorn and his sister Navarro, who is adopted, to travel to an abandoned station to flee to the planet Yvaga. They need Andy to interact with the computer system and they also need to recover the stasis chambers of the suspended animation for a nine-year trip to Yvaga. They go to the station and Andy and Bjorn realize that the chambers need cryogenic fuel for the trip. They go with Andy and accidentally unleash alien creatures, and there is a lockdown of the section. Rain uses the chip of the synthetic Rook that is damaged to update Andy to have access to all the functions of the station, but he becomes loyal to Weyland-Yutani Corporation and Rain is relegated to a second plane. But soon the creatures attack one by one of the Rain's friends. Will someone survive the alien creatures?"
